iter	RMSE
0	71759.76025
1	67195.68511
2	62870.14577
3	58854.74177
4	55371.4182
5	52100.03479
6	49173.66518
7	46502.46424
8	44216.01975
9	42287.36459
10	40366.83211
11	38661.14881
12	36995.67702
13	35520.74541
14	34216.72758
15	33168.78891
16	32067.40005
17	30988.87604
18	30076.6701
19	29299.63082
20	28506.08472
21	27861.93259
22	27248.45569
23	26735.89106
24	26175.293
25	25702.95383
26	25284.39389
27	24876.60818
28	24536.08484
29	24102.23641
30	23765.0102
31	23469.29447
32	23163.96528
33	22912.26527
34	22669.01322
35	22439.72463
36	22226.04722
37	22049.01209
38	21893.94138
39	21743.20526
40	21551.9137
41	21399.11635
42	21354.84418
43	21210.76205
44	21046.77076
45	20917.33966
46	20759.31216
47	20614.35365
48	20447.72307
49	20338.18093
50	20220.17228
51	20122.13183
52	19996.70688
53	19926.45096
54	19819.81306
55	19729.63156
56	19600.41836
57	19487.64408
58	19395.62768
59	19313.22732
60	19223.68362
61	19141.48322
62	19077.26718
63	18974.01863
64	18893.65154
65	18770.40439
66	18697.95578
67	18616.266
68	18548.94936
69	18492.89915
70	18451.78068
71	18387.72779
72	18336.99095
73	18260.1914
74	18219.51141
75	18142.70032
76	18081.72795
77	17997.91793
78	17926.32367
79	17868.82432
80	17790.49017
81	17705.87947
82	17657.33686
83	17629.73527
84	17581.37632
85	17540.32727
86	17479.62055
87	17422.02748
88	17361.78181
89	17311.32699
90	17268.15417
91	17202.26208
92	17149.5142
93	17091.97973
94	17029.67533
95	16976.74346
96	16929.78994
97	16869.24634
98	16832.45557
99	16781.31578
100	16731.04794
101	16704.77654
102	16642.86435
103	16594.42081
104	16555.76859
105	16542.96878
106	16501.90726
107	16454.06708
108	16424.54238
109	16375.70724
110	16353.26465
111	16307.66336
112	16262.58329
113	16214.18537
114	16153.89686
115	16104.98022
116	16063.84101
117	16001.25758
118	15944.15031
119	15896.36302
120	15889.3888
121	15842.69338
122	15836.09733
123	15758.97791
124	15729.175
125	15722.81821
126	15665.39489
127	15637.35975
128	15581.49132
129	15565.04914
130	15513.13098
131	15447.99145
132	15421.34772
133	15386.62586
134	15335.6689
135	15269.98843
136	15228.07434
137	15189.94912
138	15118.05511
139	15074.46075
140	15022.61787
141	14974.33451
142	14935.54597
143	14898.36042
144	14877.71193
145	14833.01676
146	14804.77462
147	14767.70923
148	14720.60712
149	14665.62405
150	14620.57532
151	14559.87343
152	14523.06378
153	14472.39513
154	14417.17424
155	14386.2482
156	14369.10098
157	14327.65299
158	14275.35481
159	14232.88473
160	14194.00285
161	14147.78392
162	14130.49006
163	14112.32311
164	14065.73365
165	14041.65956
166	14003.21907
167	13971.2831
168	13931.07863
169	13895.12541
170	13859.02103
171	13824.67497
172	13816.99141
173	13792.1112
174	13780.66168
175	13770.74006
176	13739.81965
177	13731.9653
178	13695.72071
179	13654.83699
180	13633.3141
181	13591.42635
182	13581.85356
183	13541.56583
184	13519.16321
185	13488.69012
186	13446.24202
187	13421.55603
188	13409.05079
189	13392.6956
190	13387.04451
191	13360.42828
192	13324.33546
193	13292.27961
194	13271.77331
195	13243.94875
196	13213.48413
197	13186.76603
198	13143.11419
199	13134.66586
200	13105.59939
201	13074.98519
202	13063.43501
203	13025.12142
204	13014.97153
205	12975.08853
206	12950.17237
207	12946.45049
208	12908.41017
209	12870.30867
210	12822.88137
211	12788.67371
212	12749.4436
213	12735.2689
214	12732.17199
215	12702.47055
216	12692.14736
217	12659.8233
218	12641.38656
219	12619.03245
220	12579.34456
221	12564.98956
222	12551.81
223	12544.43873
224	12516.8166
225	12505.44466
226	12467.96681
227	12442.22036
228	12410.94188
229	12399.80643
230	12369.9447
231	12322.43222
232	12316.42535
233	12301.46406
234	12293.92278
235	12274.10966
236	12230.096
237	12221.57298
238	12218.3462
239	12194.94648
240	12167.44077
241	12141.7995
242	12109.13464
243	12087.3541
244	12081.67732
245	12055.25097
246	12036.59933
247	12001.48949
248	11977.06511
249	11929.33166
250	11899.15793
251	11875.37652
252	11848.46736
253	11843.13283
254	11813.59669
255	11773.52344
256	11745.84641
257	11730.94982
258	11705.94761
259	11704.10078
260	11699.54023
261	11664.5444
262	11636.43843
263	11623.47237
264	11618.5887
265	11611.79749
266	11607.0258
267	11585.43242
268	11581.75559
269	11550.68968
270	11526.88303
271	11490.3791
272	11487.9238
273	11474.43214
274	11459.95109
275	11435.58977
276	11432.48256
277	11429.14388
278	11416.52541
279	11380.97603
280	11366.38487
281	11339.01709
282	11305.51735
283	11303.75217
284	11301.21119
285	11278.70178
286	11250.76323
287	11238.20208
288	11220.27207
289	11205.55903
290	11172.4852
291	11170.56194
292	11133.3881
293	11107.28729
294	11099.42158
295	11080.45213
296	11052.57604
297	11026.82196
298	10998.86152
299	10978.02178
