iter	Passed	Remaining
0	5	1604
1	8	1298
2	12	1195
3	15	1147
4	18	1110
5	22	1087
6	25	1073
7	29	1062
8	32	1050
9	35	1041
10	39	1032
11	42	1026
12	46	1017
13	49	1010
14	52	1005
15	56	1000
16	59	996
17	63	988
18	66	982
19	69	976
20	73	971
21	76	966
22	79	962
23	83	956
24	86	952
25	89	947
26	93	942
27	96	938
28	100	935
29	103	931
30	113	985
31	117	983
32	120	977
33	124	973
34	127	967
35	131	961
36	134	956
37	137	950
38	141	944
39	144	938
40	148	935
41	155	953
42	158	947
43	162	942
44	165	936
45	168	930
46	171	925
47	175	919
48	178	915
49	182	910
50	185	905
51	189	901
52	192	896
53	195	892
54	199	887
55	202	882
56	206	878
57	209	873
58	212	869
59	216	864
60	219	859
61	222	855
62	226	850
63	229	845
64	232	840
65	235	836
66	239	831
67	242	827
68	245	822
69	249	818
70	253	817
71	256	813
72	260	808
73	263	804
74	266	799
75	270	795
76	273	791
77	276	787
78	280	783
79	283	779
80	286	775
81	289	770
82	293	767
83	296	762
84	299	758
85	302	753
86	306	750
87	309	745
88	312	741
89	316	737
90	319	733
91	322	729
92	326	725
93	329	722
94	332	718
95	336	714
96	339	710
97	342	706
98	345	702
99	349	698
100	352	694
101	355	690
102	359	686
103	362	683
104	365	679
105	369	675
106	372	672
107	375	668
108	379	664
109	382	660
110	385	656
111	389	653
112	392	649
113	395	645
114	399	642
115	402	638
116	405	634
117	409	631
118	412	627
119	415	623
120	419	620
121	422	616
122	425	612
123	429	609
124	434	608
125	438	605
126	443	604
127	448	602
128	453	601
129	458	599
130	462	596
131	465	593
132	469	589
133	472	585
134	475	581
135	479	577
136	482	574
137	485	570
138	489	566
139	492	562
140	495	559
141	499	555
142	502	551
143	505	548
144	509	544
145	512	540
146	515	536
147	518	532
148	522	529
149	525	525
150	528	521
151	532	518
152	535	514
153	539	511
154	542	507
155	545	503
156	548	500
157	552	496
158	555	492
159	558	489
160	562	485
161	565	481
162	568	478
163	572	474
164	575	470
165	578	467
166	581	463
167	585	459
168	588	456
169	592	452
170	595	449
171	598	445
172	601	441
173	605	438
174	608	434
175	611	430
176	614	427
177	618	423
178	621	420
179	624	416
180	628	412
181	631	409
182	635	405
183	638	402
184	641	398
185	644	395
186	648	391
187	651	388
188	654	384
189	658	381
190	661	377
191	665	374
192	668	370
193	671	366
194	674	363
195	678	359
196	681	356
197	684	352
198	688	349
199	691	345
200	694	342
201	698	338
202	701	335
203	704	331
204	707	328
205	711	324
206	714	321
207	718	317
208	721	314
209	724	310
210	728	307
211	731	303
212	734	300
213	738	296
214	741	293
215	745	289
216	748	286
217	751	282
218	754	279
219	758	275
220	761	272
221	764	268
222	767	265
223	771	261
224	774	258
225	777	254
226	781	251
227	784	247
228	787	244
229	791	240
230	794	237
231	798	233
232	801	230
233	804	227
234	808	223
235	811	220
236	814	216
237	818	213
238	821	209
239	824	206
240	828	202
241	831	199
242	834	195
243	838	192
244	841	188
245	844	185
246	848	182
247	851	178
248	854	175
249	858	171
250	861	168
251	865	164
252	868	161
253	872	157
254	875	154
255	879	151
256	882	147
257	886	144
258	889	140
259	892	137
260	896	133
261	899	130
262	903	127
263	906	123
264	911	120
265	914	116
266	917	113
267	921	109
268	924	106
269	927	103
270	931	99
271	934	96
272	937	92
273	941	89
274	944	85
275	947	82
276	950	78
277	954	75
278	957	72
279	960	68
280	964	65
281	967	61
282	971	58
283	974	54
284	977	51
285	980	48
286	984	44
287	987	41
288	991	37
289	994	34
290	997	30
291	1000	27
292	1004	23
293	1007	20
294	1010	17
295	1014	13
296	1017	10
297	1020	6
298	1024	3
299	1027	0
